index,topYear,rank,trackId,trackName,artistName,albumId,albumName,genres,popularity,tempo,energy,danceability,loudness,speechiness,instrumentalness,duration_ms,valence,explicit,duration_m,topGenre
54,2015,55,6TaqooOXAEcijL6G1AWS2K,All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,5cOhR878H8hC3UsxYq5Xyv,All My Friends (feat. Tinashe & Chance the Rapper),"['dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",73,94.997,0.521,0.681,-5.849,0.141,8.41e-05,229746,0.181,True,4.0,pop
55,2015,56,6gj08XDlv9Duc2fPOxUmVD,Lips Are Movin,Meghan Trainor,5W98Ab4VvQEuFEE4TIe5fE,Title (Deluxe),"['dance pop', 'hip pop', 'pop', 'pop dance', 'post-teen pop']",71,139.091,0.825,0.775,-5.402,0.0464,1.03e-06,182666,0.95,False,3.0,pop
56,2015,57,5NQbUaeTEOGdD6hHcre0dZ,679 (feat. Remy Boyz),Fetty Wap,0TyDTzG2zt2tg0wONT9wSU,679 (feat. Remy Boyz),"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",76,190.05,0.717,0.618,-5.738,0.318,0.0,196693,0.603,True,3.0,rap
57,2015,58,285HeuLxsngjFn4GGegGNm,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,77UW17CZFyCaRLHdHeofZu,Listen,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",75,85.979,0.73,0.596,-4.091,0.151,0.0,192560,0.525,False,3.0,pop
58,2015,59,7aXuop4Qambx5Oi3ynsKQr,I Don't Mind (feat. Juicy J),Usher,5BAqg5IJQ7XFKfdoCiOlJw,I Don't Mind (feat. Juicy J),"['atl hip hop', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",69,112.974,0.464,0.87,-8.337,0.178,0.0,251989,0.457,True,4.0,hip hop
59,2015,60,6izhPbUU3CeMYvTT74YHnb,I Want You To Know,Zedd,42Eo9j3Koj7CP45lcqNfaa,I Want You To Know,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'post-teen pop', 'tropical house']",0,130.003,0.877,0.561,-2.215,0.0659,8.11e-06,238800,0.375,False,4.0,pop
60,2015,61,6Knv6wdA0luoMUuuoYi2i1,My House,Flo Rida,5lkNnHVlnCCCV304t89wOH,My House,"['dance pop', 'miami hip hop', 'pop', 'pop dance', 'pop rap']",77,94.006,0.702,0.688,-4.792,0.0499,0.0,192190,0.74,False,3.0,pop
61,2015,62,0fgZUSa7D7aVvv3GfO0A1n,Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,13QoXGJgs22WiDG1NWT00D,Sex Playlist,"['dance pop', 'hip pop', 'pop r&b', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",72,97.448,0.676,0.733,-5.655,0.0432,0.0,226580,0.701,True,4.0,r&b
62,2015,63,3CJvmtWw2bJsudbAC5uCQk,Hands To Myself,Selena Gomez,3Kbuu2tHsIbplFUkB7a5oE,Revival (Deluxe),"['dance pop', 'pop', 'pop dance', 'post-teen pop']",68,111.016,0.499,0.811,-7.161,0.118,2.44e-06,200680,0.466,False,3.0,pop
63,2015,64,3JIGmSPUizgiWcZ0uO1inR,Here,Alessia Cara,2By7VYul963jWbTnegRA2b,Four Pink Walls,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']",0,120.892,0.799,0.379,-4.031,0.163,0.0,199453,0.359,False,3.0,pop
